,latitude,longitude,State,region,sub-region,country,month,year,max_temp_avg,min_temp_avg,daylight_hr_avg,rain_avg,snowfall_avg,2016-2020 (millions)
0,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2016,39.274536,24.255241,12.19835,0.08649079,0.09363523,2
1,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2016,45.903133,29.12705,12.19835,0.08649079,0.09363523,2
2,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2016,56.460552,38.427082,12.19835,0.08649079,0.09363523,2
3,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2016,62.170242,43.301945,12.19835,0.08649079,0.09363523,2
4,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,5,2016,69.73598,51.51915,12.19835,0.08649079,0.09363523,2
5,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,6,2016,81.57324,62.33277,12.19835,0.08649079,0.09363523,2
6,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,7,2016,84.93402,66.87448,12.19835,0.08649079,0.09363523,2
7,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,8,2016,83.35387,66.44628,12.19835,0.08649079,0.09363523,2
8,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,9,2016,77.273186,60.41224,12.19835,0.08649079,0.09363523,2
9,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,10,2016,67.37902,50.68877,12.19835,0.08649079,0.09363523,2
10,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,11,2016,56.796062,40.87989,12.19835,0.08649079,0.09363523,2
11,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,12,2016,41.26404,27.313189,12.19835,0.08649079,0.09363523,2
12,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2017,41.90498,28.098434,12.206029,0.09639927,0.12617797,2
13,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2017,49.888683,32.741917,12.206029,0.09639927,0.12617797,2
14,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2017,52.841038,34.781094,12.206029,0.09639927,0.12617797,2
15,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2017,64.13421,45.215446,12.206029,0.09639927,0.12617797,2
16,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,5,2017,69.75774,51.04952,12.206029,0.09639927,0.12617797,2
17,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,6,2017,79.35568,60.654152,12.206029,0.09639927,0.12617797,2
18,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,7,2017,83.95581,65.75623,12.206029,0.09639927,0.12617797,2
19,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,8,2017,80.32645,63.017067,12.206029,0.09639927,0.12617797,2
20,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,9,2017,76.14651,58.461975,12.206029,0.09639927,0.12617797,2
21,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,10,2017,66.55485,49.371624,12.206029,0.09639927,0.12617797,2
22,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,11,2017,53.514507,37.586212,12.206029,0.09639927,0.12617797,2
23,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,12,2017,42.017296,27.360903,12.206029,0.09639927,0.12617797,2
24,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2018,40.195778,23.562857,12.206028,0.115577355,0.13716163,2
25,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2018,46.72872,29.193977,12.206028,0.115577355,0.13716163,2
26,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2018,49.48081,32.33441,12.206028,0.115577355,0.13716163,2
27,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2018,58.484093,38.418507,12.206028,0.115577355,0.13716163,2
28,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,5,2018,75.25075,55.555325,12.206028,0.115577355,0.13716163,2
29,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,6,2018,80.67021,61.7048,12.206028,0.115577355,0.13716163,2
30,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,7,2018,84.311775,65.721565,12.206028,0.115577355,0.13716163,2
31,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,8,2018,82.67504,65.13591,12.206028,0.115577355,0.13716163,2
32,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,9,2018,76.80097,60.421917,12.206028,0.115577355,0.13716163,2
33,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,10,2018,62.845207,47.35394,12.206028,0.115577355,0.13716163,2
34,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,11,2018,48.028564,33.698154,12.206028,0.115577355,0.13716163,2
35,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,12,2018,43.19066,29.248796,12.206028,0.115577355,0.13716163,2
36,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2019,39.73206,24.050486,12.206122,0.10337844,0.13377577,2
37,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2019,41.84358,25.524523,12.206122,0.10337844,0.13377577,2
38,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2019,48.798893,30.879896,12.206122,0.10337844,0.13377577,2
39,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2019,62.269325,43.275093,12.206122,0.10337844,0.13377577,2
40,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,5,2019,69.7147,51.565434,12.206122,0.10337844,0.13377577,2
41,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,6,2019,78.176506,59.66433,12.206122,0.10337844,0.13377577,2
42,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,7,2019,84.53965,65.99333,12.206122,0.10337844,0.13377577,2
43,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,8,2019,82.84969,64.44682,12.206122,0.10337844,0.13377577,2
44,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,9,2019,78.86868,60.478626,12.206122,0.10337844,0.13377577,2
45,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,10,2019,63.40115,46.442154,12.206122,0.10337844,0.13377577,2
46,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,11,2019,50.071445,33.57839,12.206122,0.10337844,0.13377577,2
47,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,12,2019,44.53673,29.925077,12.206122,0.10337844,0.13377577,2
48,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2020,43.038433,28.764698,12.198345,0.10005855,0.10955854,2
49,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2020,44.830307,28.132536,12.198345,0.10005855,0.10955854,2
50,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2020,55.099632,37.56728,12.198345,0.10005855,0.10955854,2
51,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2020,59.88827,40.586918,12.198345,0.10005855,0.10955854,2
